fid,datum,pc,plaats,long,lat,aantal
1,202005040000,1000,Bruxelles,4.351697,50.8465573,1
2,202005040001,1020,Laeken,4.3487134,50.883392,1
3,202005040002,1030,Schaerbeek,4.3737121,50.8676041,1
4,202005040003,1040,Etterbeek,4.3895104,50.8368511,1
5,202005040004,1050,Ixelles,4.3815707,50.8222854,1
6,202005040005,1060,Saint-Gilles,4.345668,50.8267409,1
7,202005040006,1070,Anderlecht,4.3123401,50.8381411,1
8,202005040007,1080,Molenbeek-Saint-Jean,4.3227779,50.8543551,1
9,202005040008,1081,Koekelberg,4.3257084,50.8622633,1
10,202005040009,1082,Berchem-Sainte-Agathe,4.292702,50.8639835,1
11,202005040010,1083,Ganshoren,4.3175103,50.8712396,1
12,202005040011,1090,Jette,4.3260903,50.8777634,1
13,202005040012,1120,Neder-Over-Heembeek,4.3904888684211,50.89779605,1
14,202005040013,1130,Haren,4.4125708732431,50.8919661,1
15,202005040014,1140,Evere,4.4021602,50.8704524,1
16,202005040015,1150,Woluwe-Saint-Pierre,4.4432967,50.8292429,1
17,202005040016,1160,Auderghem,4.4331389,50.8156571,1
18,202005040017,1170,Watermael-Boitsfort,4.4158177,50.799394,1
19,202005040018,1180,Uccle,4.3372348,50.8018201,1
20,202005040019,1190,Forest,4.3177512,50.8091426,1
21,202005040020,1200,Woluwe-Saint-Lambert,4.4284842,50.8466928,1
22,202005040021,1210,Saint-Josse-Ten-Noode,4.3723364,50.8530739,1
23,202005040022,1500,Halle,4.2374349,50.7360524,1
24,202005040023,1501,Buizingen,4.2605080818496,50.73793415,1
25,202005040024,1502,Lembeek,4.2143430588907,50.7092954,1
26,202005040025,1540,Herfelingen,4.0974868,50.747729,1
27,202005040026,1540,Herne,4.0260115663497,50.72329555,1
28,202005040027,1541,Sint-Pieters-Kapelle,3.9985766720315,50.70721955,1
29,202005040028,1547,Biévène,3.943147,50.7164481,1
30,202005040029,1560,Hoeilaart,4.474407,50.7674846,1
31,202005040030,1570,Galmaarden,3.9709983,50.7527192,1
32,202005040031,1570,Tollembeek,4.004789341376,50.7430853,1
33,202005040032,1570,Vollezele,4.0247359,50.76088,1
34,202005040033,1600,Oudenaken,4.1958992,50.7804875,1
35,202005040034,1600,Sint-Laureins-Berchem,4.1993838,50.7877313,1
36,202005040035,1600,Sint-Pieters-Leeuw,4.2452186173064,50.78118355,1
37,202005040036,1601,Ruisbroek,4.298610469732,50.7848617,1
38,202005040037,1602,Vlezenbeek,4.2360410720845,50.805593,1
39,202005040038,1620,Drogenbos,4.3173542,50.786532,1
40,202005040039,1630,Linkebeek,4.3345641,50.7716092,1
41,202005040040,1640,Rhode-Saint-Genèse,4.3463687,50.74503,1
42,202005040041,1650,Beersel,4.3051321494591,50.7684432,1
43,202005040042,1651,Lot,4.2729986221483,50.76514035,1
44,202005040043,1652,Alsemberg,4.3281703413079,50.7449476,1
45,202005040044,1653,Dworp,4.2950152833964,50.73423975,1
46,202005040045,1654,Huizingen,4.2732545968764,50.74931535,1
47,202005040046,1670,Bogaarden,4.1367803,50.7398062,1
48,202005040047,1670,Heikruis,4.1126567,50.7348458,1
49,202005040048,1670,Pepingen,4.1785882891377,50.7511702,1
50,202005040049,1671,Elingen,4.174198071757,50.7793527,1
51,202005040050,1673,Beert,4.1853449364222,50.7354888,1
52,202005040051,1674,Bellingen,4.1601450278998,50.73779765,1
53,202005040052,1700,Dilbeek,4.2657299667643,50.84408625,1
54,202005040053,1700,Sint-Martens-Bodegem,4.2150592,50.8627233,1
55,202005040054,1700,Sint-Ulriks-Kapelle,4.2206526,50.8800337,1
56,202005040055,1701,Itterbeek,4.2501187,50.8395994,1
57,202005040056,1702,Groot-Bijgaarden,4.2635668372339,50.8714357,1
58,202005040057,1703,Schepdaal,4.195149072634,50.8363077,1
59,202005040058,1730,Asse,4.1804375072845,50.913594,1
60,202005040059,1730,Bekkerzeel,4.2381789,50.8853713,1
61,202005040060,1730,Kobbegem,4.2496669,50.9091629,1
62,202005040061,1730,Mollem,4.2239826,50.9328497,1
63,202005040062,1731,Relegem,4.2790265927797,50.9019808,1
64,202005040063,1731,Zellik,4.2744185,50.8842475,1
65,202005040064,1740,Ternat,4.1834171401216,50.87155835,1
66,202005040065,1741,Wambeek,4.1646372476962,50.85672975,1
67,202005040066,1742,Sint-Katherina-Lombeek,4.1535568,50.8726659,1
68,202005040067,1745,Mazenzele,4.1717632,50.9428791,1
69,202005040068,1745,Opwijk,4.1896665,50.9690529,1
70,202005040069,1750,Gaasbeek,4.1888025,50.7998923,1
71,202005040070,1750,Lennik,4.1648626,50.8085632,1
72,202005040071,1750,Sint-Kwintens-Lennik,4.1456163063499,50.81145495,1
73,202005040072,1750,Sint-Martens-Lennik,4.1695303908975,50.8115319,1
74,202005040073,1755,Gooik,4.1029840674511,50.7979738,1
75,202005040074,1755,Kester,4.1212845,50.7631284,1
76,202005040075,1755,Leerbeek,4.1192641,50.7773538,1
77,202005040076,1755,Oetingen,4.0614624,50.7720719,1
78,202005040077,1760,Onze-Lieve-Vrouw-Lombeek,4.1119573,50.8220387,1
79,202005040078,1760,Pamel,4.0820664787057,50.83471975,1
80,202005040079,1760,Roosdaal,4.0972238,50.8341383,1
81,202005040080,1760,Strijtem,4.1145703,50.8405541,1
82,202005040081,1761,Borchtlombeek,4.1369148649611,50.84817805,1
83,202005040082,1770,Liedekerke,4.0860754,50.8711313,1
84,202005040083,1780,Wemmel,4.3108723,50.9145955,1
85,202005040084,1785,Brussegem,4.2658869,50.9277713,1
86,202005040085,1785,Hamme,4.1202807810427,51.0881618,1
